CustomerKey,GeographyKey,CustomerAlternateKey,FirstName,MiddleName,LastName,FullNAME,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstPurchase,CommuteDistance,City
11000,26,AW00011000,Jon,V,Yang,Jon Yang,1971-10-06,Married,Male,jon24@adventure-works.com,90000.00,2,0,Bachelors,Professional,1,0,3761 N. 14th St,NULL,1 (11) 500 555-0162,2011-01-19,1-2 Miles,Rockhampton
11001,37,AW00011001,Eugene,L,Huang,Eugene Huang,1976-05-10,Single,Male,eugene10@adventure-works.com,60000.00,3,3,Bachelors,Professional,0,1,2243 W St.,NULL,1 (11) 500 555-0110,2011-01-15,0-1 Miles,Seaford
11002,31,AW00011002,Ruben,NULL,Torres,Ruben Torres,1971-02-09,Married,Male,ruben35@adventure-works.com,60000.00,3,3,Bachelors,Professional,1,1,5844 Linden Land,NULL,1 (11) 500 555-0184,2011-01-07,2-5 Miles,Hobart
11003,11,AW00011003,Christy,NULL,Zhu,Christy Zhu,1973-08-14,Single,Female,christy12@adventure-works.com,70000.00,0,0,Bachelors,Professional,0,1,1825 Village Pl.,NULL,1 (11) 500 555-0162,2010-12-29,5-10 Miles,North Ryde
11004,19,AW00011004,Elizabeth,NULL,Johnson,Elizabeth Johnson,1979-08-05,Single,Female,elizabeth5@adventure-works.com,80000.00,5,5,Bachelors,Professional,1,4,7553 Harness Circle,NULL,1 (11) 500 555-0131,2011-01-23,1-2 Miles,Wollongong
11005,22,AW00011005,Julio,NULL,Ruiz,Julio Ruiz,1976-08-01,Single,Male,julio1@adventure-works.com,70000.00,0,0,Bachelors,Professional,1,1,7305 Humphrey Drive,NULL,1 (11) 500 555-0151,2010-12-30,5-10 Miles,East Brisbane
11006,8,AW00011006,Janet,G,Alvarez,Janet Alvarez,1976-12-02,Single,Female,janet9@adventure-works.com,70000.00,0,0,Bachelors,Professional,1,1,2612 Berry Dr,NULL,1 (11) 500 555-0184,2011-01-24,5-10 Miles,Matraville
11007,40,AW00011007,Marco,NULL,Mehta,Marco Mehta,1969-11-06,Married,Male,marco14@adventure-works.com,60000.00,3,3,Bachelors,Professional,1,2,942 Brook Street,NULL,1 (11) 500 555-0126,2011-01-09,0-1 Miles,Warrnambool
11008,32,AW00011008,Rob,NULL,Verhoff,Rob Verhoff,1975-07-04,Single,Female,rob4@adventure-works.com,60000.00,4,4,Bachelors,Professional,1,3,624 Peabody Road,NULL,1 (11) 500 555-0164,2011-01-25,10+ Miles,Bendigo
11009,25,AW00011009,Shannon,C,Carlson,Shannon Carlson,1969-09-29,Single,Male,shannon38@adventure-works.com,70000.00,0,0,Bachelors,Professional,0,1,3839 Northgate Road,NULL,1 (11) 500 555-0110,2011-01-27,5-10 Miles,Hervey Bay
11010,22,AW00011010,Jacquelyn,C,Suarez,Jacquelyn Suarez,1969-08-05,Single,Female,jacquelyn20@adventure-works.com,70000.00,0,0,Bachelors,Professional,0,1,7800 Corrinne Court,NULL,1 (11) 500 555-0169,2011-01-14,5-10 Miles,East Brisbane
11011,22,AW00011011,Curtis,NULL,Lu,Curtis Lu,1969-05-03,Married,Male,curtis9@adventure-works.com,60000.00,4,4,Bachelors,Professional,1,4,1224 Shoenic,NULL,1 (11) 500 555-0117,2010-12-30,10+ Miles,East Brisbane
11012,611,AW00011012,Lauren,M,Walker,Lauren Walker,1979-01-14,Married,Female,lauren41@adventure-works.com,100000.00,2,0,Bachelors,Management,1,2,4785 Scott Street,NULL,717-555-0164,2013-03-16,1-2 Miles,Bremerton
11013,543,AW00011013,Ian,M,Jenkins,Ian Jenkins,1979-08-03,Married,Male,ian47@adventure-works.com,100000.00,2,0,Bachelors,Management,1,3,7902 Hudson Ave.,NULL,817-555-0185,2013-04-13,0-1 Miles,Lebanon
